name,price,category,popularity,durability,category_encoded
Hulk's Smash Fist,17.362759496072066,Weapons,83,100,2
Captain America's Shield,51.21490125877226,Weapons,95,92,2
Hawkeye's Quiver,19.408812440813932,Weapons,74,83,2
Iron Man Armor,105.16614734259534,Costumes,92,83,0
Black Panther's Mask,27.557426833432835,Costumes,83,90,0
Black Panther's Vibranium Suit,111.85491686760295,Costumes,86,96,0
Green Goblin's Glider,42.06452062733783,Weapons,75,79,2
Iron Man's Mark 50 Armor,142.49652325706418,Costumes,96,77,0
Captain Marvel's Photon Blasts,61.85356562814185,Powers,95,94,1
Iron Man's Repulsor Blasters,31.537042905135237,Weapons,86,76,2
Hawkeye's Targeting System,14.557965513030936,Weapons,69,67,2
Iron Spider Suit,117.3296733351054,Costumes,96,88,0
Shuri's Vibranium Tech,43.703688885288,Powers,80,90,1
Iron Man's Repulsor Blasters,27.095414004550427,Weapons,95,83,2
Black Widow's Tactical Vest,46.42805019157097,Costumes,90,85,0
Iron Man's Mark 50 Armor,154.58253595900698,Costumes,92,89,0
Captain America's Vibranium Shield,60.398956535685556,Weapons,100,100,2
Iron Spider Suit,113.6922850197975,Costumes,90,87,0
Thor's Mjolnir Hammer,36.090916015424284,Weapons,86,88,2
Black Widow's Gauntlets,40.20965687172653,Weapons,89,75,2
Thor's Helmet,43.1087733058976,Costumes,76,90,0
Shuri's Vibranium Tech,33.84743180884126,Powers,77,92,1
Captain Marvel's Photon Blasts,66.7695457933458,Powers,94,88,1
Iron Man's Unibeam,72.98801010280795,Weapons,98,74,2
Vision's Solar Gem,34.87031669779262,Weapons,85,73,2
Scarlet Witch's Magic Powers,92.5389208340618,Powers,90,93,1
Captain America's Tactical Gloves,17.260554123039142,Costumes,76,99,0
Shuri's Vibranium Tech,41.57228690198274,Powers,83,85,1
Hawkeye's Bow and Arrows,48.63420738053149,Weapons,78,78,2
Black Widow's Tactical Vest,51.8035094606209,Costumes,84,93,0
Doctor Strange's Cloak of Levitation,54.07447412658413,Costumes,69,96,0
Vision's Mind Stone,56.14363349208651,Weapons,96,100,2
Iron Man's Arc Reactor,61.83338696344934,Weapons,100,89,2
Loki's Scepter,43.046785370992694,Weapons,82,87,2
Doctor Strange's Eye of Agamotto,58.36986988791405,Weapons,89,90,2
Hulkbuster Armor,190.38953484771665,Costumes,100,99,0
Wolverine's Claws,9.148503329883749,Weapons,74,77,2
Hulk's Smash Fist,27.628151896892554,Weapons,76,100,2
Ant-Man's Suit,67.56782928999526,Costumes,82,92,0
Doctor Strange's Cloak of Levitation,50.30113257880118,Costumes,74,93,0
Thor's Helmet,48.578269860043534,Costumes,73,79,0
Thor's Stormbreaker Axe,109.90298713321789,Weapons,90,96,2
Winter Soldier's Arm,67.99228169285891,Weapons,72,83,2
Wolverine's Claws,12.483946740631145,Weapons,70,75,2
Iron Man's Unibeam,76.0784304484896,Weapons,100,77,2
Iron Man Armor,91.40986172018064,Costumes,100,71,0
Iron Spider Suit,101.34800656220615,Costumes,90,90,0
Black Widow's Gauntlets,46.273122396171786,Weapons,84,80,2
Thor's Helmet,40.78467862789509,Costumes,79,88,0
Black Widow's Widow's Bite,17.84994484791449,Weapons,82,88,2
Loki's Scepter,41.876515929837645,Weapons,90,83,2
Green Goblin's Glider,38.461572460398415,Weapons,82,66,2
Black Widow's Tactical Vest,64.68330422731933,Costumes,81,81,0
Thor's Stormbreaker Axe,104.56427176882366,Weapons,81,92,2
Loki's Scepter,43.79417816881623,Weapons,87,74,2
The Falcon's Wings,68.66976071574467,Weapons,82,87,2
Black Widow's Gauntlets,44.852614901069146,Weapons,88,68,2
Spider-Man Web Shooter,23.03289787997044,Powers,100,50,1
Hulk's Smash Fist,31.517339660162552,Weapons,78,90,2
Hawkeye's Quiver,24.71282250901437,Weapons,68,87,2
Spider-Man Web Shooter,13.282742428030536,Powers,95,62,1
Black Widow's Combat Boots,38.530361471186666,Costumes,82,79,0
The Falcon's Wings,78.93183007200325,Weapons,83,95,2
Scarlet Witch's Magic Powers,83.78795734535274,Powers,83,81,1
Iron Man's Unibeam,79.71474357578087,Weapons,95,80,2
Spider-Man Web Shooter,10.99284674527907,Powers,100,66,1
Doctor Strange's Eye of Agamotto,43.148654558789666,Weapons,88,82,2
Vision's Mind Stone,47.36042665407585,Weapons,96,92,2
Thor's Stormbreaker Axe,92.39773227894248,Weapons,89,92,2
Iron Man's Unibeam,76.89038307066882,Weapons,100,72,2
Hawkeye's Quiver,28.14746328945045,Weapons,74,91,2
Spider-Man's Suit,58.694125154728546,Costumes,93,75,0
Wolverine's Claws,13.302290250627074,Weapons,67,95,2
Iron Man's Arc Reactor,54.14449145140904,Weapons,96,70,2
Shuri's Vibranium Tech,43.41318510986186,Powers,84,88,1
Black Widow's Gauntlets,46.74268808203255,Weapons,88,73,2
Ant-Man's Suit,83.66518755987418,Costumes,76,82,0
Iron Man's Repulsor Blasters,25.689747824333132,Weapons,92,92,2
Iron Man's Arc Reactor,57.233555314519,Weapons,100,86,2
Iron Man Armor,103.34726407425167,Costumes,98,79,0
Hawkeye's Targeting System,12.07173003836423,Weapons,67,73,2
Hawkeye's Bow and Arrows,52.794254140114184,Weapons,78,74,2
Captain Marvel's Suit,70.63512542915788,Costumes,88,85,0
Thor's Helmet,43.74994257602661,Costumes,74,86,0
Hulkbuster Armor,195.0224250413979,Costumes,95,92,0
Ant-Man's Shrinking Powers,38.47151545127453,Powers,79,66,1
Iron Man Armor,96.66113077210176,Costumes,92,90,0
Black Widow's Combat Boots,23.231639525477725,Costumes,82,87,0
The Falcon's Wings,76.21813729549493,Weapons,76,82,2
Scarlet Witch's Magic Powers,90.90180578411044,Powers,85,98,1
Captain Marvel's Photon Blasts,58.95187571134965,Powers,87,76,1
Iron Man's Arc Reactor,52.29303030654512,Weapons,95,81,2
Thor's Helmet,43.64133376621153,Costumes,80,73,0
Green Goblin's Glider,45.592324837428855,Weapons,81,84,2
Scarlet Witch's Magic Powers,98.50527645139113,Powers,83,85,1
Vision's Mind Stone,63.618324093266494,Weapons,95,90,2
Black Panther's Mask,37.647729922952635,Costumes,86,87,0
Captain Marvel's Suit,68.18395685961463,Costumes,86,87,0
Thor's Mjolnir Hammer,37.161865026755635,Weapons,83,86,2
Shuri's Vibranium Tech,37.98316848891837,Powers,78,92,1
Captain America's Shield,53.19066365497258,Weapons,91,85,2
Captain Marvel's Suit,82.28705884060572,Costumes,89,86,0
Black Widow's Tactical Vest,55.18811351056075,Costumes,90,97,0
Black Panther's Mask,40.784742806494314,Costumes,81,88,0
Vision's Mind Stone,57.601794674774155,Weapons,99,86,2
Black Panther's Vibranium Suit,121.93142509975489,Costumes,90,95,0
The Falcon's Wings,77.12417706612287,Weapons,83,83,2
Captain America's Vibranium Shield,72.990094658224,Weapons,98,93,2
Thor's Mjolnir Hammer,34.16570567668341,Weapons,80,96,2
Iron Man's Mark 50 Armor,153.73714293829053,Costumes,100,81,0
Iron Man's Repulsor Blasters,28.615947992499738,Weapons,95,85,2
Thor's Battle Axe,96.2783129011672,Weapons,81,94,2
Vision's Solar Gem,31.185693244173066,Weapons,91,80,2
Thor's Stormbreaker Axe,103.94416828388798,Weapons,88,89,2
Loki's Scepter,48.39892667545817,Weapons,86,75,2
Thor's Battle Axe,101.38210509731618,Weapons,86,100,2
Iron Man Armor,96.06749898536707,Costumes,93,83,0
Iron Man's Unibeam,77.13323140959525,Weapons,100,84,2
Winter Soldier's Arm,58.84319598609615,Weapons,68,96,2
Black Widow's Widow's Bite,28.864707982120038,Weapons,77,77,2
The Hulk's Gamma Gloves,40.30904019830433,Weapons,90,99,2
Black Panther's Mask,23.867744001511255,Costumes,83,89,0
Iron Spider Suit,116.13125789152531,Costumes,92,80,0
Thor's Mjolnir Hammer,24.886850881567,Weapons,87,99,2
Black Widow's Gauntlets,45.098323367601786,Weapons,90,83,2
Loki's Scepter,54.356918309979775,Weapons,86,85,2
Thor's Stormbreaker Axe,94.87968879156878,Weapons,90,85,2
Black Panther's Vibranium Suit,125.5684081353465,Costumes,88,90,0
Doctor Strange's Eye of Agamotto,49.290997691485046,Weapons,88,87,2
Hawkeye's Bow and Arrows,44.129236509403455,Weapons,77,86,2
Captain Marvel's Photon Blasts,67.89904636938839,Powers,92,94,1
Vision's Solar Gem,33.53481513717311,Weapons,93,84,2
Doctor Strange's Cloak of Levitation,59.8731088431917,Costumes,72,94,0
Black Widow's Combat Boots,35.03553573001023,Costumes,85,78,0
Doctor Strange's Eye of Agamotto,49.691940341405335,Weapons,83,88,2
Winter Soldier's Arm,51.549667077294714,Weapons,69,87,2
Captain Marvel's Suit,71.71695073242628,Costumes,93,77,0
Ant-Man's Suit,68.01661316026173,Costumes,81,79,0
Thor's Helmet,31.28457701427756,Costumes,76,80,0
Iron Man's Mark 50 Armor,149.318486067023,Costumes,90,81,0
Hawkeye's Quiver,22.789536253338824,Weapons,74,75,2
Thor's Lightning Powers,47.60762057855423,Powers,90,100,1
Iron Man's Arc Reactor,60.06950250118771,Weapons,100,87,2
Iron Man's Mark 50 Armor,155.99736341882536,Costumes,93,90,0
Iron Spider Suit,105.45870623526513,Costumes,97,80,0
Captain America's Vibranium Shield,61.72259087396765,Weapons,100,97,2
Doctor Strange's Cloak of Levitation,61.810113261251175,Costumes,67,99,0
Iron Man's Mark 50 Armor,140.53932903810275,Costumes,96,93,0
Thor's Lightning Powers,53.25999513672323,Powers,91,100,1
The Falcon's Wings,67.71398974461128,Weapons,82,85,2
Spider-Man Web Shooter,15.193126278386092,Powers,100,56,1
Shuri's Vibranium Tech,37.52691609762617,Powers,81,93,1
Hawkeye's Quiver,20.045430635647612,Weapons,66,90,2
Captain America's Shield,54.970485221657015,Weapons,85,86,2
Iron Spider Suit,113.0028818649975,Costumes,100,81,0
Captain America's Shield,58.98223465431978,Weapons,88,75,2
Thor's Battle Axe,93.04764691569581,Weapons,82,100,2
Hawkeye's Targeting System,12.287788922186131,Weapons,68,79,2
Black Widow's Combat Boots,35.33796196712481,Costumes,77,89,0
Captain America's Tactical Gloves,35.26469488202417,Costumes,71,85,0
Iron Man's Arc Reactor,47.16197499315213,Weapons,95,79,2
Thor's Lightning Powers,53.54694573700817,Powers,96,100,1
Loki's Scepter,41.5099295568612,Weapons,90,77,2
Black Panther's Vibranium Suit,123.94386004991544,Costumes,89,100,0
Hawkeye's Bow and Arrows,50.92454433200424,Weapons,79,71,2
Green Goblin's Glider,40.64490490621001,Weapons,85,76,2
Black Widow's Gauntlets,46.10921579354156,Weapons,85,65,2
Hawkeye's Quiver,31.44661836180116,Weapons,66,88,2
Iron Man's Repulsor Blasters,32.70170212202892,Weapons,92,79,2
The Falcon's Wings,68.52273922172118,Weapons,83,100,2
Captain Marvel's Suit,77.31824708107102,Costumes,93,90,0
Shuri's Vibranium Tech,39.701489860077885,Powers,84,93,1
Spider-Man's Suit,57.03426320038663,Costumes,91,73,0
Winter Soldier's Arm,54.87726878381912,Weapons,72,98,2
Thor's Battle Axe,103.36376940890987,Weapons,85,85,2
Hulkbuster Armor,207.01905672624918,Costumes,97,100,0
Thor's Helmet,37.096499323521904,Costumes,74,80,0
Captain Marvel's Suit,82.6063995951645,Costumes,89,92,0
Iron Man Armor,100.32254503429868,Costumes,93,72,0
Wolverine's Claws,22.391493282083886,Weapons,72,92,2
Wolverine's Claws,21.80218678893046,Weapons,75,90,2
Winter Soldier's Arm,65.85865736264635,Weapons,66,89,2
Iron Spider Suit,108.08802257355856,Costumes,93,89,0
Hawkeye's Targeting System,21.631111706647346,Weapons,72,82,2
Doctor Strange's Eye of Agamotto,46.875147882924054,Weapons,88,90,2
Green Goblin's Glider,44.04709884371538,Weapons,79,74,2
Black Widow's Combat Boots,24.610760825970154,Costumes,78,80,0
Hawkeye's Bow and Arrows,49.85762127278208,Weapons,72,76,2
Thor's Helmet,44.77209307017901,Costumes,74,88,0
Doctor Strange's Eye of Agamotto,51.935814810246036,Weapons,81,86,2
The Hulk's Gamma Gloves,34.54966326965109,Weapons,82,89,2
Iron Man Armor,104.15036971422062,Costumes,92,78,0
Thor's Mjolnir Hammer,39.47589862205476,Weapons,88,89,2
Ant-Man's Suit,77.75739310211856,Costumes,82,78,0
Iron Man Armor,101.47128439252664,Costumes,97,85,0
Winter Soldier's Arm,56.814118651205845,Weapons,65,88,2
Black Widow's Widow's Bite,15.27174281449849,Weapons,76,87,2
Hulkbuster Armor,191.4816434051128,Costumes,100,91,0
Scarlet Witch's Magic Powers,82.9739516894731,Powers,89,89,1
Hulk's Smash Fist,32.8683624542044,Weapons,76,100,2
Hawkeye's Quiver,27.126353024859256,Weapons,74,82,2
Doctor Strange's Eye of Agamotto,47.60756052293099,Weapons,87,89,2
Iron Man's Unibeam,84.80062520933596,Weapons,99,88,2
Thor's Battle Axe,91.20460608745081,Weapons,81,91,2
Ant-Man's Shrinking Powers,34.22050390610786,Powers,85,67,1
Doctor Strange's Cloak of Levitation,49.79730355349385,Costumes,73,82,0
Doctor Strange's Cloak of Levitation,45.05351445205771,Costumes,72,99,0
Black Widow's Widow's Bite,18.815185780620553,Weapons,78,84,2
The Hulk's Gamma Gloves,44.059751161874345,Weapons,87,82,2
Iron Spider Suit,118.47822088965097,Costumes,100,98,0
Hawkeye's Targeting System,26.078113605628676,Weapons,68,78,2
Hawkeye's Bow and Arrows,45.891247574211576,Weapons,80,74,2
Captain Marvel's Suit,81.5326231930012,Costumes,86,76,0
Doctor Strange's Cloak of Levitation,60.85257132464823,Costumes,74,98,0
The Hulk's Gamma Gloves,38.78306897347475,Weapons,87,89,2
Thor's Stormbreaker Axe,108.85352481488081,Weapons,88,100,2
Hulkbuster Armor,198.75517727143196,Costumes,100,91,0
The Falcon's Wings,79.69067846571231,Weapons,84,88,2
Captain America's Shield,41.81653773261971,Weapons,95,93,2
Iron Man's Unibeam,84.01572555612705,Weapons,100,78,2
Thor's Lightning Powers,40.804633462892326,Powers,92,100,1
Doctor Strange's Eye of Agamotto,53.030189788673724,Weapons,84,85,2
Iron Man's Unibeam,73.71769974154006,Weapons,100,72,2
Black Widow's Widow's Bite,19.949221125893008,Weapons,80,85,2
Hawkeye's Targeting System,12.091997691651148,Weapons,67,75,2
Hawkeye's Quiver,28.87347347966865,Weapons,69,87,2
Captain Marvel's Photon Blasts,56.723942606274164,Powers,86,85,1
Black Widow's Combat Boots,26.465475725519894,Costumes,81,86,0
Iron Man Armor,103.14320772966258,Costumes,98,84,0
Hawkeye's Quiver,16.084081707534573,Weapons,73,86,2
Thor's Battle Axe,105.12886308111148,Weapons,90,99,2
Spider-Man Web Shooter,14.061164767005476,Powers,100,54,1
The Hulk's Gamma Gloves,38.762321901447564,Weapons,87,83,2
Captain America's Shield,59.45293631643389,Weapons,94,82,2
Doctor Strange's Cloak of Levitation,51.2150027678667,Costumes,65,97,0
Hawkeye's Quiver,16.86418402563045,Weapons,66,89,2
Hawkeye's Bow and Arrows,47.95419377567517,Weapons,72,85,2
The Hulk's Gamma Gloves,40.177440301390234,Weapons,84,93,2
Black Widow's Widow's Bite,32.59489265206751,Weapons,78,89,2
Captain Marvel's Photon Blasts,58.88283936971217,Powers,88,94,1
Vision's Solar Gem,39.92585090984795,Weapons,87,72,2
Captain Marvel's Suit,80.4535026535401,Costumes,91,85,0
Vision's Solar Gem,30.343453261338098,Weapons,85,79,2
Iron Man's Arc Reactor,61.74951845212843,Weapons,100,85,2
Scarlet Witch's Magic Powers,88.92094786086389,Powers,87,91,1
Black Panther's Mask,33.038348341416224,Costumes,88,92,0
Shuri's Vibranium Tech,49.64704511430522,Powers,78,92,1
Thor's Lightning Powers,47.65941697859204,Powers,96,91,1
Spider-Man's Suit,54.894103031303914,Costumes,96,77,0
Hawkeye's Targeting System,25.847873213998607,Weapons,75,69,2
Hulkbuster Armor,209.2964887674182,Costumes,97,100,0
Iron Man's Unibeam,71.63989407862728,Weapons,96,84,2
Black Panther's Vibranium Suit,120.51902173615123,Costumes,92,85,0
Scarlet Witch's Magic Powers,88.18957239492728,Powers,90,84,1
Black Widow's Gauntlets,45.37981201969464,Weapons,84,75,2
Thor's Battle Axe,103.85409197173765,Weapons,90,87,2
Black Panther's Mask,39.046826731317864,Costumes,88,92,0
Spider-Man's Suit,52.53598358015975,Costumes,97,82,0
Thor's Mjolnir Hammer,32.339189232054466,Weapons,83,100,2
The Hulk's Gamma Gloves,49.94851845912431,Weapons,81,93,2
Black Panther's Vibranium Suit,125.20739385988531,Costumes,86,99,0
Doctor Strange's Cloak of Levitation,58.88002325586469,Costumes,65,81,0
Spider-Man's Suit,55.922869303244234,Costumes,94,76,0
Iron Man's Repulsor Blasters,28.603735757107998,Weapons,88,91,2
Hawkeye's Quiver,26.318561238318736,Weapons,67,80,2
Vision's Mind Stone,47.569367013199894,Weapons,100,100,2
Wolverine's Claws,17.94334504735902,Weapons,74,79,2
Iron Spider Suit,109.22299826709995,Costumes,94,94,0
Black Widow's Combat Boots,33.336814345329614,Costumes,82,79,0
Iron Man's Mark 50 Armor,143.15951244143574,Costumes,97,86,0
Iron Man's Unibeam,70.98308498247545,Weapons,100,78,2
Shuri's Vibranium Tech,47.89607850285198,Powers,78,97,1
Black Widow's Widow's Bite,15.123065348447216,Weapons,81,93,2
Green Goblin's Glider,41.4862386035729,Weapons,79,65,2
Hawkeye's Targeting System,17.916114818227346,Weapons,65,83,2
Spider-Man Web Shooter,28.20233907437421,Powers,100,59,1
Iron Spider Suit,112.14129996328532,Costumes,95,87,0
Ant-Man's Shrinking Powers,33.802639785541764,Powers,79,69,1
Ant-Man's Shrinking Powers,31.94327859631236,Powers,85,85,1
Thor's Mjolnir Hammer,26.16865767905272,Weapons,87,81,2
Iron Man's Unibeam,72.2972246605694,Weapons,97,72,2
The Hulk's Gamma Gloves,36.53438251428021,Weapons,86,85,2
Loki's Scepter,42.63319595493567,Weapons,88,81,2
Doctor Strange's Eye of Agamotto,50.0358952452968,Weapons,84,85,2
Black Widow's Combat Boots,38.28097907076624,Costumes,82,79,0
Black Panther's Mask,38.084650772090214,Costumes,87,82,0
Scarlet Witch's Magic Powers,95.0730298612267,Powers,83,92,1
Captain Marvel's Photon Blasts,63.30550098811132,Powers,91,75,1
Black Widow's Combat Boots,30.731446165381183,Costumes,82,81,0
Black Widow's Combat Boots,31.691201833043323,Costumes,85,81,0
Black Panther's Vibranium Suit,123.49673110750643,Costumes,92,85,0
Thor's Battle Axe,107.68469690429704,Weapons,88,95,2
Thor's Battle Axe,94.4273440014798,Weapons,81,100,2
Shuri's Vibranium Tech,49.177752768557845,Powers,79,100,1
Hawkeye's Quiver,17.333518734541087,Weapons,65,76,2
Iron Man's Arc Reactor,64.9185474951006,Weapons,96,73,2
Wolverine's Claws,25.735186170570046,Weapons,67,87,2
Shuri's Vibranium Tech,38.410230309737656,Powers,83,98,1
Iron Man's Unibeam,79.84538029530631,Weapons,97,83,2
Black Widow's Tactical Vest,46.98043269421057,Costumes,87,99,0
Hawkeye's Quiver,33.7810613142731,Weapons,69,76,2
Iron Man's Repulsor Blasters,24.335393693951232,Weapons,92,82,2
Iron Man's Repulsor Blasters,21.977092492122605,Weapons,95,86,2
Iron Man's Mark 50 Armor,158.0339242484931,Costumes,100,86,0
Spider-Man Web Shooter,17.95279285488746,Powers,98,53,1
Shuri's Vibranium Tech,32.82346847635042,Powers,78,100,1
Ant-Man's Shrinking Powers,41.9429191903909,Powers,75,66,1
Black Panther's Mask,26.87137794328047,Costumes,82,98,0
Thor's Helmet,31.372203056487116,Costumes,78,76,0
Iron Man's Unibeam,69.31902703837349,Weapons,98,80,2
Scarlet Witch's Magic Powers,95.76287508555218,Powers,89,80,1
Captain Marvel's Suit,82.16812252760353,Costumes,87,79,0
Iron Man's Mark 50 Armor,145.01308393456247,Costumes,92,78,0
Hawkeye's Targeting System,27.32895777013602,Weapons,67,65,2
Green Goblin's Glider,45.789693284695076,Weapons,78,83,2
Spider-Man's Suit,40.31562167022321,Costumes,94,66,0
Ant-Man's Suit,79.83436113908299,Costumes,83,78,0
Black Widow's Gauntlets,45.51491930846501,Weapons,85,81,2
Iron Man's Unibeam,67.1810802000769,Weapons,100,77,2
Thor's Battle Axe,90.86730073798344,Weapons,90,100,2
Iron Man's Arc Reactor,54.16085044195364,Weapons,95,71,2
Black Widow's Widow's Bite,29.935970863344853,Weapons,81,78,2
Hulkbuster Armor,204.24802629794192,Costumes,100,92,0
Hulk's Smash Fist,19.43223639492652,Weapons,77,87,2
Ant-Man's Suit,70.50031999115906,Costumes,85,93,0
Captain Marvel's Photon Blasts,70.23305592852613,Powers,91,94,1
Doctor Strange's Eye of Agamotto,45.8979549189978,Weapons,88,99,2
The Falcon's Wings,66.98356923358084,Weapons,76,100,2
Black Widow's Tactical Vest,62.55412426128428,Costumes,88,86,0
The Falcon's Wings,74.03109831930563,Weapons,78,93,2
Black Panther's Mask,38.54838449560089,Costumes,86,93,0
Black Panther's Vibranium Suit,116.25096699994266,Costumes,90,93,0
Iron Man's Repulsor Blasters,39.06185035238249,Weapons,95,90,2
Black Widow's Gauntlets,37.81449576732098,Weapons,81,67,2
The Falcon's Wings,66.93128865131571,Weapons,80,84,2
Captain Marvel's Photon Blasts,57.189619559416926,Powers,93,92,1
Black Panther's Mask,35.40026529464592,Costumes,86,91,0
Hawkeye's Targeting System,28.822597377044595,Weapons,71,66,2
The Hulk's Gamma Gloves,42.00820182449354,Weapons,85,83,2
Thor's Lightning Powers,50.14825093936008,Powers,92,100,1
Iron Spider Suit,116.94549696269905,Costumes,95,97,0
Iron Man's Repulsor Blasters,22.28770627060616,Weapons,89,93,2
Iron Spider Suit,116.14442742304689,Costumes,98,99,0
Thor's Battle Axe,103.49953422586607,Weapons,88,85,2
Captain America's Tactical Gloves,34.571685819898725,Costumes,74,80,0
Vision's Mind Stone,51.455407774254496,Weapons,99,95,2
Green Goblin's Glider,30.112115788073176,Weapons,77,83,2
Hawkeye's Targeting System,18.015686879990312,Weapons,67,85,2
Captain America's Shield,41.825153661088905,Weapons,93,81,2
Captain America's Vibranium Shield,63.396649875290066,Weapons,100,90,2
Iron Man's Repulsor Blasters,26.222747394084326,Weapons,90,93,2
Captain America's Tactical Gloves,17.689140799543583,Costumes,70,84,0
Doctor Strange's Cloak of Levitation,60.08871758249971,Costumes,65,82,0
Captain Marvel's Suit,73.86225948660652,Costumes,91,90,0
Captain America's Tactical Gloves,24.83088373395558,Costumes,74,86,0
Vision's Solar Gem,27.276350162204036,Weapons,91,73,2
The Hulk's Gamma Gloves,43.56435785867069,Weapons,89,95,2
Doctor Strange's Eye of Agamotto,53.342651174726996,Weapons,80,87,2
Thor's Stormbreaker Axe,109.6889131664224,Weapons,80,85,2
Thor's Helmet,36.02838724036874,Costumes,73,74,0
Black Widow's Combat Boots,25.788942624348753,Costumes,76,70,0
Hulkbuster Armor,204.94028246859534,Costumes,97,94,0
Captain America's Vibranium Shield,65.65164695734848,Weapons,98,100,2
Captain Marvel's Photon Blasts,72.65708404839756,Powers,90,77,1
Thor's Stormbreaker Axe,107.23528724045177,Weapons,80,98,2
Captain America's Shield,49.1850850071255,Weapons,86,85,2
Thor's Lightning Powers,48.58568572601671,Powers,96,100,1
Hawkeye's Quiver,20.790304111715162,Weapons,71,75,2
Spider-Man's Suit,43.437463611561384,Costumes,99,79,0
Iron Man's Repulsor Blasters,21.75259762595769,Weapons,86,82,2
The Falcon's Wings,76.77742576605824,Weapons,83,82,2
Thor's Stormbreaker Axe,107.41048832390823,Weapons,85,92,2
Black Panther's Mask,37.58235737206529,Costumes,81,96,0
Ant-Man's Shrinking Powers,32.28053279677105,Powers,83,71,1
Green Goblin's Glider,37.01199469914721,Weapons,85,69,2
Wolverine's Claws,10.046090555555255,Weapons,69,81,2
Vision's Mind Stone,58.037979705463314,Weapons,100,87,2
Vision's Mind Stone,65.01584281159164,Weapons,100,100,2
Shuri's Vibranium Tech,46.07891650493972,Powers,84,99,1
Thor's Lightning Powers,52.85983661343132,Powers,99,100,1
Ant-Man's Shrinking Powers,36.322777889811604,Powers,82,67,1
Black Widow's Widow's Bite,21.834161276725695,Weapons,79,83,2
Iron Man's Unibeam,66.12344240426157,Weapons,100,72,2
Iron Man's Arc Reactor,54.23484972892908,Weapons,95,71,2
Iron Man's Repulsor Blasters,36.62393263326243,Weapons,86,95,2
Hulk's Smash Fist,25.29016776831147,Weapons,83,97,2
Shuri's Vibranium Tech,42.596588148223816,Powers,75,99,1
Thor's Lightning Powers,53.0367490929722,Powers,95,100,1
Black Widow's Widow's Bite,23.01734603745655,Weapons,75,89,2
Black Panther's Vibranium Suit,126.21933622645241,Costumes,90,87,0
Vision's Solar Gem,37.92254182287438,Weapons,85,77,2
Winter Soldier's Arm,69.81972045293776,Weapons,73,96,2
Thor's Battle Axe,93.17492415963083,Weapons,85,94,2
Captain America's Vibranium Shield,63.17538794494641,Weapons,100,100,2
Spider-Man Web Shooter,25.774538631273295,Powers,100,60,1
Black Widow's Gauntlets,42.58381510235458,Weapons,88,77,2
